Particulars,Actuals 2022-2023,Budget Estimates 2023-2024 Total,Revised Estimates 2023-2024,Budget Estimates 2024-2025 Total
Department of Agriculture and Farmers Welfare,99877.01,115531.79,116788.96,117528.79
Department of Agricultural Research and Education,8399.72,9504,9876.6,9941.09
Atomic Energy,24641.61,25078.49,26799.78,24968.98
Ministry of Ayush,2448.23,3647.5,3000,3712.49
Department of Chemicals and Petrochemicals,143.94,173.45,572.63,139.05
Department of Fertilisers,251369.18,175148.48,188947.29,164150.81
Department of Pharmaceuticals,2050.07,3160.06,2697.95,4089.95
Ministry of Civil Aviation,9320.85,3113.36,2922.12,2300
Ministry of Coal,103.46,192.32,189.04,192.55
Department of Commerce,7053.93,5254.58,6050.01,3979.55
Department for Promotion of Industry and Internal Trade,5946.87,8200.63,6403.79,6425.08
Department of Posts,22015.11,25814,24389.2,25378.47
Department of Telecommunications,118960.54,97579.05,98359.41,111876.67
Department of Consumer Affairs,209.48,250.66,309.26,303.62
Department of Food and Public Distribution,283744.53,205513.94,221924.64,213019.75
Ministry of Cooperation,1636.52,1150.38,747.84,1183.39
Ministry of Corporate Affairs,568.61,756.19,617.43,667.06
Ministry of Culture,3275.49,3399.65,3460,3260.93
Ministry of Defence (Civil),20567.74,22612.5,25896.99,25563.18
Defence Services (Revenue),256183.44,270120.14,298668.75,282772.67
Capital Outlay on Defence Services,142940.01,162600,157228.2,172000
Defence Pensions,153406.9,138205,142095,141205
Ministry of Development of North Eastern Region,989.95,5892,5892,5900
Ministry of Earth Sciences,1568.86,3319.88,2879.02,2521.83
Department of School Education and Literacy,58639.56,68804.85,72473.8,73008.1
Department of Higher Education,38556.8,44094.62,57244.48,47619.77
Ministry of Electronics and Information Technology,8199.25,16549.04,14421.25,21385.15
"Ministry of Environment, Forests and Climate Change",2389.3,3079.4,3231.02,3265.53
Ministry of External Affairs,16660.96,18050,29121.88,22154.67
Department of Economic Affairs,7276.95,10881.05,18227.26,83576.36
Department of Expenditure,365.78,517.34,469.04,504.14
Department of Financial Services,3160.62,1324.64,4608.62,2845.15
Department of Public Enterprises,180.99,33.05,32.57,26.6
Department of Investment and Public Asset Management (DIPAM),178.89,94.92,60.03,49.74
Department of Revenue,164576.94,146347.68,146950.64,151860.69
Direct Taxes,8868.78,9890.87,10028.69,10338.38
Indirect Taxes,33985.77,38510.08,36716.1,41097.98
Indian Audit and Accounts Department,5676.2,5806.13,5967.37,5961.48
Interest Payments,928517.03,1079971,1055427.21,1190440.29
Repayment of Debt,     ...    ,     ...    ,     ...    ,     ...    
Pensions,68066.13,71701,74701,76741
Transfers to States,273393.35,324641.41,273984.89,286787.06
Department of Fisheries,1294.38,2248.77,1701,2584.5
Department of Animal Husbandry and Dairying,2315.61,4327.85,3913.93,4521.24
Ministry of Food Processing Industries,1409.94,3287.65,2911.95,3290
Department of Health and Family Welfare,73308.3,86175,77624.79,87656.9
Department of Health Research,2422.76,2980,2892.83,3001.73
Ministry of Heavy Industries,2706.27,6171.63,6391.51,6729
Ministry of Home Affairs,4235.69,5901.31,5120.78,5733.51
Cabinet,1055.91,1258.68,1803.01,1248.91
Police,115640.12,127756.74,126435.82,132345.47
Andaman and Nicobar Islands,5502.73,5987.14,5937.42,5866.37
Chandigarh,5011.01,5436.1,5817.45,5862.62
Dadra and Nagar Haveli and Daman and Diu,2474.31,2475,2536.61,2648.97
Ladakh,2869.02,5958,4500,5958
